Country, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
South Africa, Itumeleng Khune, Moeneeb Josephs, Shu-Aib Walters, Matthew Booth, Siboniso Gaxa, Bongani Khumalo, Siyabonga Sangweni, Aaron Mokoena, Anele Ngcongca, Lucas Thwala, Teko Modise, Siphiwe Tshabalala, Kagisho Dikgacoi, Reneilwe Letsholonyane, Thanduyise Khuboni, Steven Pienaar, MacBeth Sibaya, Katlego Mphela, Bernard Parker, Siyabonga Nomvethe, Surprise Moriri, Sthembiso Ngcobo
Ivory Coast, Didier Drogba, Salomon Kalou, Kolo Touré, Yaya Touré, Gervinho, Seydou Doumbia, Emmanuel Eboué, Jean-Jacques Gosso, Kader Keita, Arthur Boka, Jean-Daniel Akpa Akpro, Didier Zokora, Stéphane Sessegnon, Sol Bamba, Copa Barry, Dominique Yobouet, Wilfried Bony, Bakari Koné, Siaka Tiéné, Grégory Gomis, Issiaka Ouédraogo, Mahmoud Hassan
Denmark, Thomas Sørensen, Jesper Christiansen, Stephan Andersen, Lars Jacobsen, Simon Kjær, Daniel Agger, Patrick Mtiliga, Per Krøldrup, William Kvist, Jakob Poulsen, Martin Jørgensen, Christian Poulsen, Daniel Jensen, Thomas Kahlenberg, Jesper Grønkjær, Dennis Rommedahl, Jon Dahl Tomasson, Nicklas Bendtner, Søren Larsen, Mikkel Beckmann, Thomas Enevoldsen, Jakob Sørensen
Spain, Iker Casillas, Víctor Valdés, Pepe Reina, Sergio Ramos, Gerard Piqué, Carles Puyol, Joan Capdevila, Álvaro Arbeloa, Raúl Albiol, Carlos Marchena, Xavi, Andrés Iniesta, Xabi Alonso, Sergio Busquets, Cesc Fàbregas, Javi Martínez, David Silva, Jesús Navas, Juan Mata, David Villa, Fernando Torres, Pedro Rodríguez, Fernando Llorente
USA, Raïs M'Bolhi, Nadir Belhadj, Madjid Bougherra, Antar Yahia, Mesut Ozil, Mourad Meghni, Karim Ziani, Hassan Yebda, Rafik Halliche, Abdelkader Ghezzal, Mourad Amari, Djamel Abdoun, Zahir Amiri, Foued Kadir, Abdelkader Bentaleb, Slimane Raho, Sofiane Feghouli, Mohamed Reda Halaimia, Abdelkader Laïfaoui, Ali Aït Zizi, Ahmed Fathi, Hassan Kadr
France, Hugo Lloris, Steve Mandanda, Cédric Carrasso, Bacary Sagna, Patrice Évra, Éric Abidal, William Gallas, Sébastien Squillaci, Anthony Rêveillère, Jérémy Toulalan, Lassana Diarra, Alou Diarra, Yoann Gourcuff, Florent Malouda, Abou Diaby, Franck Ribéry, Nicolas Anelka, Thierry Henry, Sidney Govou, André-Pierre Gignac, Djibril Cissé, Marc Planus
Ghana, Richard Kingson, Stephen Appiah, John Mensah, Asamoah Gyan, Michael Essien, Sulley Muntari, Kwadwo Asamoah, Kevin-Prince Boateng, Andre Ayew, Jonathan Mensah, Samuel Inkoom, Anthony Annan, Isaac Vorsah, Emmanuel Agyemang-Badu, Prince Tagoe, Kofi Annan, Derek Boateng, Richard Mpong, Daniel Addo, Albert Adomah, Razak Omotoyossi, Daniel Opare
Greece, Antonis Nikopolidis, Kostas Chalkias, Sifis Doreris, Giorgos Karagounis, Angelos Charisteas, Vasilis Torosidis, Loukas Vyntra, Sotiris Kyrgiakos, Giannis Maniatis, Kostas Katsouranis, Giorgos Samaras, Theofanis Gekas, Dimitris Salpingidis, Giorgos Fotakis, Vangelis Moras, Kostas Mitroglou, Alexandros Tziolis, Nikos Spiropoulos, Christos Patsatzoglou, Sotiris Ninis, Panagiotis Kone, Giannis Papadopoulos
Honduras, Noel Valladares, Donis Escober, Julio César de León, Wilson Palacios, Hendry Thomas, Amado Guevara, Carlos Costly, Jerry Bengtson, Ramón Núñez, Maynor Figueroa, Oscar Boniek García, Víctor Bernárdez, Emilio Izaguirre, Marvin Chávez, Juan Carlos García, Wilmer Crisanto, Andy Najar, Roger Espinoza, Jerry Palacios, Orlando de León, Rony Martínez, Luis López, Julio Rodríguez
Italy, Gianluigi Buffon, Federico Marchetti, Morgan De Sanctis, Fabio Cannavaro, Giorgio Chiellini, Gianluca Zambrotta, Domenico Criscito, Christian Maggio, Salvatore Bocchetti, Andrea Pirlo, Daniele De Rossi, Gennaro Gattuso, Claudio Marchisio, Simone Pepe, Riccardo Montolivo, Angelo Palombo, Mauro Camoranesi, Vincenzo Iaquinta, Alberto Gilardino, Antonio Di Natale, Fabio Quagliarella, Giampaolo Pazzini
Japan, Eiji Kawashima, Seigo Narazaki, Yoshikatsu Kawaguchi, Yuji Nakazawa, Marcus Tulio Tanaka, Yuto Nagatomo, Atsuto Uchida, Yasuyuki Konno, Daiki Iwamasa, Yuichi Komano, Keisuke Honda, Makoto Hasebe, Yasuhito Endo, Daisuke Matsui, Shunsuke Nakamura, Junichi Inamoto, Kengo Nakamura, Yuki Abe, Shinji Okazaki, Yoshito Okubo, Keiji Tamada, Takayuki Morimoto
Mexico, Guillermo Ochoa, Oscar Pérez, Luis Michel, Rafael Márquez, Francisco Rodríguez, Carlos Salcido, Paul Aguilar, Ricardo Osorio, Jonny Magallón, Efraín Juárez, Gerardo Torrado, Israel Castro, Adolfo Bautista, Giovani dos Santos, Pablo Barrera, Andrés Guardado, Cuauhtémoc Blanco, Guillermo Franco, Javier Hernández, Carlos Vela, Alberto Medina, Enrique Esqueda
Nigeria, Vincent Enyeama, Obafemi Akinwunmi Akinbiyi, John Obi Mikel, Yakubu Aiyegbeni, Nwankwo Kanu, Chidi Odiah, Joseph Yobo, Taye Taiwo, Uche Okechukwu, Kalu Uche, Obinna Nsofor, Ahmed Musa, Dele Aiyenugba, Peter Odemwingie, Sani Kaita, Efe Ambrose, Nosa Igiebor, Kingsley Obiekwu, Emmanuel Emenike, Chigozie Agbim, Austin Ejide, Olubayo Adefemi, Ayodele Adeleye
New Zealand, Mark Paston, Glen Moss, James Bannatyne, Winston Reid, Ryan Nelsen, Tommy Smith, Ivan Vicelich, Ben Sigmund, Tony Lochhead, Andy Boyens, Tim Brown, Simon Elliott, Michael McGlinchey, Jeremy Christie, Leo Bertos, Aaron Clapham, Rory Fallon, Chris Killen, Shane Smeltz, Chris Wood, David Mulligan
Netherlands, Maarten Stekelenburg, Michel Vorm, Sander Boschker, Gregory van der Wiel, Khalid Boulahrouz, John Heitinga, Joris Mathijsen, André Ooijer, Giovanni van Bronckhorst, Edson Braafheid, Mark van Bommel, Nigel de Jong, Wesley Sneijder, Rafael van der Vaart, Demy de Zeeuw, Ibrahim Afellay, Arjen Robben, Dirk Kuyt, Robin van Persie, Klaas-Jan Huntelaar, Ryan Babel, Eljero Elia
Paraguay, Justo Villar, Aldo Bobadilla, Diego Barreto, Claudio Morel Rodríguez, Paulo Da Silva, Darío Verón, Julio César Cáceres, Antolín Alcaraz, Aureliano Torres, Denis Caniza, Carlos Bonet, Cristian Riveros, Víctor Cáceres, Jonathan Santana, Edgar Barreto, Enrique Vera, Néstor Ortigoza, Marcelo Estigarribia, Lucas Barrios, Óscar Cardozo, Nelson Haedo Valdez, Roque Santa Cruz, Édgar Benítez
Portugal, Eduardo, Beto, Rui Patrício, João Pereira, Miguel, Ricardo Costa, Bruno Alves, Pepe, Fábio Coentrão, Paulo Ferreira, Tiago, João Moutinho, Deco, Raúl Meireles, Carlos Martins, Simão, Cristiano Ronaldo, Hugo Almeida, Danny, Liedson, Nani, Postiga, Ricardo Quaresma, Zé Castro
Serbia, Vladimir Stojković, Bojan Isailović, Željko Brkić, Branislav Ivanović, Nemanja Vidić, Aleksandar Kolarov, Antonio Rukavina, Neven Subotić, Aleksandar Luković, Ivan Obradović, Dejan Stanković, Nenad Milijaš, Zdravko Kuzmanović, Miloš Krasić, Radosav Petrović, Gojko Kačar, Zoran Tošić, Miralem Sulejmani, Marko Pantelić, Nikola Žigić, Milan Jovanović, Danko Lazović
Slovenia, Samir Handanović, Samir Ujkani, Jan Oblak, Boštjan Cesar, Nejc Pečnik, Zlatko Dedić, Valter Birsa, Miral Samardžić, Robert Koren, Andraž Kirm, Rene Krhin, Bojan Jokić, Luka Koper, Aleksandar Radosavljević, Jani Žižić, Ivan Kavčič, Jernej Kolar, Benjamin Verbič, Miha Zajc, Milan Jovanović, Aljaž Kovačič, Andrej Kramarić
Slovakia, Ján Mucha, Dušan Kuciak, Ľubomír Perniš, Martin Škrtel, Ján Ďurica, Kornel Saláta, Peter Pekarík, Radoslav Zabavník, Marek Čech, Miroslav Stoch, Marek Hamšík, Miroslav Karhan, Juraj Kucka, Kamil Kopúnek, Vladimír Weiss, Zdeno Štrba, Stanislav Šesták, Róbert Vittek, Erik Jendrišek, Martin Jakubko, Filip Hološko
Switzerland, Diego Benaglio, Marco Wölfli, Stéphane Grichting, Philippe Senderos, Johan Djourou, Stephan Lichtsteiner, Reto Ziegler, Valon Behrami, Gökhan Inler, Xherdan Shaqiri, Tranquillo Barnetta, Hakan Yakin, Eren Derdiyok, Alexander Frei, Benjamin Huggel, Gelson Fernandes, Ricardo Rodríguez, Christian Zé, Jacques Zoua, Patrick Müller, Mario Gavranović, Marco Streller
Uruguay, Fernando Muslera, Juan Castillo, Martín Silva, Diego Lugano, Diego Godín, Mauricio Victorino, Andrés Scotti, Jorge Fucile, Maximiliano Pereira, Walter Gargano, Egidio Arévalo, Álvaro Pereira, Diego Pérez, Nicolás Lodeiro, Ignacio González, Edinson Cavani, Luis Suárez, Diego Forlán, Sebastián Abreu, Jorge Martínez, Álvaro Fernández
